product_name,correct_category
บล็อกสนามหญ้า เอสซีจี รุ่นเทิร์ฟ สโตน,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
อินทรีมอร์ตาร์ 16G ปูนซีเมนต์สำเร็จรูปสำหรับฉาบแต่งผิวบางพิเศษ สีเทา 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ทีโอเอ ชิลด์วัน นาโน สีน้ำ กึ่งเงา ภายใน เบส 2.5 แกลลอน #000D,สีและเคมีภัณฑ์
"คอตโต้, ฝักบัวอาบน้ำ รุ่น Z72(HM)",สุขภัณฑ์
อินทรีมอร์ตาร์ 52 คอนกรีตแห้ง 240 KSC ทรงลูกบาศก์ 1 ตัน,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ทีโอเอ สีพ่นรองพื้นอุตสาหกรรม สูตรน้ำ 1 แกลลอน #W90P,สีและเคมีภัณฑ์
"ท่อเหล็กกลมดำ 1/2""x 0.80 - 2.30 มม.",ผลิตภัณฑ์เหล็ก
ซุปเปอร์ เมเทค สีน้ำ ชนิดด้าน สำหรับภายนอก เบสซี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
เสือกาวยาแนว (สูตรใช้ White cement) สีชมพู บรรจุถุง,สีและเคมีภัณฑ์
ท่อกลม ขนาด 2 นิ้ว ความหนา 2.77- 5.54 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
สีน้ำทีโอเอ ชิลด์ วัน นาโน ชนิดด้าน สำหรับภายนอก เบส ซี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
กระเบื้องปูพื้น โสสุโก้ 30x30 ซม. NK2,กระเบื้องและเซรามิก
อินทรีซูเปอร์ (ชนิดถุง),ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีผิวเรียบ OR01 บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยม ขนาด 75 x 20 มิลลิเมตร ความหนา 1.60 - 2.30 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
"ท่อเหล็กแบนดำ 1-5/8""x3/4""x 1.00 - 3.20 มม.",ผลิตภัณฑ์เหล็ก
พอลิเมอร์เสริมเส้นใยสำหรับงานโครงสร้างคอนกรีตไม่อัดแรง แบบเส้นตรง ขนาด 9 มิลลิเมตร,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ท่อกลมดำ ขนาด 2 นิ้ว ความหนา 1.20 - 4.50 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เหล็กลวดคาร์บอนสูง ชั้นคุณภาพ SWRH82A ขนาด 5.5 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
ทีโอเอ สีพ่นอุตสาหกรรม เงา สูตรน้ำ 1 แกลลอน #WL90,สีและเคมีภัณฑ์
กำแพงกันดินใหญ่/เล็ก,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ฉนวนกันความร้อน เอสซีจี สำหรับผนัง รุ่น Cool Wall 65 มม. พรีเมี่ยม,ฉนวนกันความร้อน
ทีโอเอ ออร์แกนิค แคร์ สีน้ำ เนียน ภายใน เบส 9 ลิตร #000A,สีและเคมีภัณฑ์
เสือ ซีเมนต์ ซูเปอร์ ก่อ ฉาบ เท บรรจุถุง  ขนาด 40 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ทีโอเอ HVG อีโพการ์ด อีนาเมล เงา ส่วนเอ 1 แกลลอน #6016,วัสดุมุงหลังคา
ข้องอ 90 เกลียวในทองเหลือง-หนา ฟ้า 25,สุขภัณฑ์
เบเยอร์ ไพรเมอร์ โปร 300 ขนาด 1 แกลลอน,วัสดุมุงหลังคา
ตะแกรงเหล็กกล้าเชื่อมติดเสริมคอนกรีตแบบลวดข้ออ้อย CDD (ตะแกรงเหล็กไวร์เมช) ขนาด 4.0 mm. ขนาดตาราง 20x20 cm.,ผลิตภัณฑ์เหล็ก
เสือ ปูนซีเมนต์ขาว งานอเนกประสงค์  ขนาด 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เบเยอร์ซุปเปอร์ไฮ-ชิลด์ ชนิดด้าน สำหรับทาภายใน เบส A ขนาด 2.5 แกลลอน,สีและเคมีภัณฑ์
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยม ขนาด 90 x 90 มิลลิเมตร ความหนา 2.30 - 8.00 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
ทีโอเอ ออร์แกนิค แคร์ สีน้ำ เนียน ภายใน เบส 9 ลิตร #000D,สีและเคมีภัณฑ์
อินทรีมอร์ตาร์ 44 กาวซีเมนต์สำหรับปูกระเบื้อง คุณภาพมาตรฐาน มอก. 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ปูนงานโครงสร้าง เอสซีจี บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เบเยอร์ซุปเปอร์ไฮ-ชิลด์ ชนิดด้าน สำหรับทาภายใน เบส C ขนาด 1 แกลลอน,สีและเคมีภัณฑ์
ซุปเปอร์ชิลด์ สีน้ำ ชนิดกึ่งเงา สำหรับภายนอก เบสบี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
ท่อสี่เหลี่ยมขนาด 120X120X12.5X100 เซนติเมตร,สีและเคมีภัณฑ์
ปูนงานโครงสร้าง เอสซีจี สูตรไฮบริด,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
คานคอนกรีตสำเร็จรูป,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
สีน้ำโฟร์ซีซั่น ชนิดกึ่งเงา เบส บี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
"ท่อเหล็กแบนดำ 1""x3/4""x 1.00 - 3.20 มม.",ผลิตภัณฑ์เหล็ก
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยม ขนาด 127.0 x 76.2 มิลลิเมตร ความหนา 4.78 - 9.52 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
ยางมะตอยผสมร้อน (Hot Mix Asphalt),อื่นๆ
ทีโอเอ HVG อีโพการ์ด อีนาเมล เงา ส่วนเอ 1 แกลลอน #5015,วัสดุมุงหลังคา
เหล็กเส้นข้ออ้อย SD50T DB12 10M,ผลิตภัณฑ์เหล็ก
ทีโอเอ ออร์แกนิค แคร์ สีน้ำ กึ่งเงา ภายใน เบส 9 ลิตร #000A,สีและเคมีภัณฑ์
เบเยอร์ชิลด์ โฟโตคลีน เบส ซี ขนาดบรรจุ 9 ลิตร,สีและเคมีภัณฑ์
ฉนวนยาง Aeroflex Standard หนา 38 มิลลิเมตร,ฉนวนกันความร้อน
กระเบื้องบุผนัง มะฮอกกานี น้ำตาล ขนาด 8*10 นิ้ว,กระเบื้องและเซรามิก
สีน้ำภายใน TOA PRO EXPERT#000A 5กล.,สีและเคมีภัณฑ์
โฟร์ซีซันส์ สีน้ำ ด้าน ภายนอก เบส 2.5 แกลลอน #000C,สีและเคมีภัณฑ์
สีน้ำภายนอก TOA FLEX EXPERT #000B 5 แกลลอน,สีและเคมีภัณฑ์
เทปยางบางปิดป้องกันฉนวน Protape 5 มิลลิเมตร,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
สีน้ำซุปเปอร์ชิลด์ ชนิดเนียน เบส ซี บรรจุ 1 แกลลอน,สีและเคมีภัณฑ์
เสือซีเมนต์ ก่อ ฉาบ เท บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เสือกาวยาแนว สูตรเพิ่มสารทนกรด (ซิเมนต์เทา)  บรรจุถุง 1 กิโลกรัม,สีและเคมีภัณฑ์
ฉนวนยาง Aeroflex HT หนา 14 มิลลิเมตร,ฉนวนกันความร้อน
เสือ เดคอร์ ปูนซีเมนต์ขาว ฉาบงานอนุรักษ์,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
กระเบื้องหลังคาเซรามิค SCG เอ็กซ์เซลล่า รุ่นคลาสสิคไทย เกล็ดปลา ทุกสี,วัสดุมุงหลังคา
แผ่นพื้นคอนกรีตอัดแรงซีแพค ชนิดรูกลวง ขนาด 250x1200 มม.,วัสดุมุงหลังคา
เบเยอร์คูล ออล พลัส เฉดสีเข้มมาก ขนาดบรรจุ 5 แกลลอน,สีและเคมีภัณฑ์
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีผิวเรียบ BR01 บรรจุถุง 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อกลม ขนาด ¾ นิ้ว ความหนา 2.00 - 3.91 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
สีน้ำโฟร์ซีซั่น ชนิดด้าน สำหรับทาภายนอก เบส เอ บรรจุ 5 แกลลอน,สีและเคมีภัณฑ์
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่น เพรสทีจ เอ็กซ์ชิลด์,วัสดุมุงหลังคา
แผ่นพื้นคอนกรีตสำเร็จรูป,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
กระเบื้องพอร์ซเลน คอตโต้ 20x120 ซม.,กระเบื้องและเซรามิก
ทีโอเอ ชิลด์วัน นาโน สีน้ำ ชนิดด้าน สำหรับภายนอก เบสซี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
ทีโอเอ สีรองพื้นไม้ อลูมิเนียม 1 แกลลอน #0AWP,สีและเคมีภัณฑ์
เอ็มดี 2IN1 รัสท์เทค เงา #MG111 1 GL,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีผิวเรียบ BR02 บรรจุถุง 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ท่อเหล็กแบนกัลวาไนซ์ 100 x 50 x 1.55 มม.,ผลิตภัณฑ์เหล็ก
คอนกรีตผสมเสร็จ ตราอินทรีคอนกรีต ขนาดกำลังอัด 240 ksc,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ซุปเปอร์เมเทค เอ็กซ์เปิร์ต สีน้ำด้าน ใน ผสมรองพื้น เบส 1 แกลลอน #000A,สีและเคมีภัณฑ์
คอนกรีตผสมเสร็จ NM02028,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อกลมเคลือบสี ขนาด 1½ นิ้ว ความหนา 2.00 - 5.40 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อกลมดำ ขนาด 4 นิ้ว ความหนา 4.5 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
กระเบื้องปูพื้น โสสุโก้ 60x60 ซม. NKIE,กระเบื้องและเซรามิก
คอนกรีตผสมเสร็จซีแพคกำลังอัด 420 KSC,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เสือ กาวยาแนว (สูตรใช้ grey cement) ทุกสี 1 กิโลกรัม,สีและเคมีภัณฑ์
อินทรีเพชร Easy Flow (Big Bag),ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กข้ออ้อย DB20 SD40 (T),ผลิตภัณฑ์เหล็ก
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อกลมเคลือบสี ขนาด 2 นิ้ว ความหนา 2.00 - 5.54 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เอสซีจี ปูนซีเมนต์ขาวปอร์ตแลนด์  (จัมโบ้ แบ๊ค),ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เสือกาวยาแนว สูตรเพิ่มสารทดกรด (สูตรใช้ White cement) สีเทาแกรนิต  บรรจุถุง 1 กิโลกรัม,สีและเคมีภัณฑ์
เหล็กแถบรีดร้อน ขนาด 177 มม. หนา 1.40 - 3.20 มม.,ผลิตภัณฑ์เหล็ก
ปูนซีเมนต์ปอร์ตแลนด์ขาวมอนทาเนียบรรจุถุง 40 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เสือ ซีเมนต์ ซูเปอร์ ก่อ ฉาบ เท บรรจุถุง 40 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีเท็กซ์เจอร์ OR05Worm บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
อิฐบล็อกคอนกรีตมวลเบา LAY&GO ชนิด C8,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เบเยอร์ คูล ไดมอนด์ ชิลด์ พลัส กึ่งเงา ภายนอก เบส ซี ขนาด 1 แกลลอน,สีและเคมีภัณฑ์
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีเท็กซ์เจอร์ GB01Worm บรรจุถุง 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กลวดคาร์บอนต่ำ ชั้นคุณภาพ SWRM15 ขนาด 6 mm.,ผลิตภัณฑ์เหล็ก
โฟร์ซีซันส์ 5IN1 สีน้ำยืดหยุ่น ชนิดเนียน สำหรับภายนอก ไม่ผสมน้ำ บรรจุ 3.75 ลิตร,สีและเคมีภัณฑ์
ปูนทนน้ำทะเล เอสซีจี แบบบัลค์,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ทีโอเอ HVG ท็อปการ์ด โพลียูรีเทน 2K ด้านใส ส่วนเอ 1 แกลลอน #MATT,สีและเคมีภัณฑ์
กระเบื้องเซรามิคตัดขอบ NATURAL Collection  ดีไซน์ บอสโค – มะฮอกกานี ขนาด 19.5 x 78.5 cm.,กระเบื้องและเซรามิก
ฝ้า สมาร์ทบอร์ด เอสซีจี แมกซ์  รุ่น ขอบเรียบ 0.4 ซม.,วัสดุผนังและฝ้า
สีน้ำซุปเปอร์ชิลด์ ดูราคลีน เอ พลัส ชนิดด้าน เบส บี บรรจุ 1 แกลลอน,สีและเคมีภัณฑ์
เบเยอร์ คูล ไดมอนด์ ชิลด์ 15 ชนิดเนียน เบส A ขนาด 2.5 แกลลอน,สีและเคมีภัณฑ์
อิฐทนไฟ Neomag-F,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ฝ้า เฌอร่า บอร์ด โปร ขอบตรง ขนาด 0.4 เซนติเมตร,วัสดุผนังและฝ้า
อิฐมวลเบา สมาร์ทบล็อค รุ่น G4 ขนาดมาตรฐาน 60×20×17.5 ซม.,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เบเยอร์ชิลด์ อีซี่ คลีน แอนด์ แคร์ ชนิดเนียน สำหรับทาภายใน เบส D ขนาด 2.5 แกลลอน,สีและเคมีภัณฑ์
เบเยอร์ คูล ออล พลัส ภายนอก เบส เอ ขนาด 2.5 แกลลอน,สีและเคมีภัณฑ์
ทีโอเอ ชิลด์วัน นาโน สีน้ำ กึ่งเงา ภายใน เบส 2.5 แกลลอน #000B,สีและเคมีภัณฑ์
สีน้ำโฟร์ซีซั่น ชนิดด้าน สำหรับทาภายใน สีขาว บรรจุ 5 แกลลอน,สีและเคมีภัณฑ์
เบเยอร์คูล ออล พลัส เบส บี ขนาดบรรจุ 1 แกลลอน,สีและเคมีภัณฑ์
ปูนรับกำลังอัดเร็ว เอสซีจี บรรจุถุง ขนาด 50 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีผิวเรียบ GY03 บรรจุถุง 20 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ตะแกรงเหล็กกล้าเชื่อมติดเสริมคอนกรีตแบบลวดข้ออ้อย CDD (ตะแกรงเหล็กไวร์เมช) ขนาด 6.0 mm. ขนาดตาราง 30x30 cm.,ผลิตภัณฑ์เหล็ก
แผ่นพื้นสำเร็จรูปสามขา กว้าง 35 ซม. หนา 7 ซม. เส้นลวดขนาด 4 มม. 2 เส้นและเส้นลวดขนาด 5 มม. 2 เส้น,ผลิตภัณฑ์เหล็ก
อินทรีเพชรพลัส (ชนิดถุง),ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ซุปเปอร์เมเทค เอ็กซ์เปิร์ต สีน้ำ ชนิดด้าน สำหรับภายนอก ผสมรองพื้น เบสดี บรรจุ 1 แกลลอน,สีและเคมีภัณฑ์
โฟร์ซีซันส์ สีน้ำ ชนิดด้าน สำหรับภายใน เบสซี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
ซุปเปอร์ชิลด์ สีน้ำ กึ่งเงา ภายนอก เบส 2.5 แกลลอน #000C,สีและเคมีภัณฑ์
กระเบื้องเซรามิคตัดขอบ NATURAL Collection ดีไซน์ บอสโค – อัลมอนด์ ขนาด 19.5 x 58.5 cm.,กระเบื้องและเซรามิก
ลวดเชื่อมเปลือยใช้เชื่อมเหล็กกล้าละมุนด้วยอาร์กโดยมีก๊าซปกคลุม FAMILIARC MG -51T  เส้นผ่านศูนย์กลาง 1.2 มิลลิเมตร ขนาด 20 กิโลกรัม SPOOL PACK,ผลิตภัณฑ์เหล็ก
ท่อกรู๊ฟเคลือบสี ขนาด 4 นิ้ว ความหนา 3.05 - 8.60 มิลลิเมตร,สีและเคมีภัณฑ์
กระเบื้องซีเมนต์ปูพื้น,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
โฟร์ซีซันส์ สีเคลือบ เงา เบส 1 แกลลอน #000B,สีและเคมีภัณฑ์
เหล็กลวดคาร์บอนต่ำ ชั้นคุณภาพ SWRH8 ขนาด 9 mm.,ผลิตภัณฑ์เหล็ก
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยมเคลือบสี ขนาด 150 x 150 มิลลิเมตร ความหนา 4.00 - 12.50 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
โฟร์ซีซันส์ 5IN1 สีน้ำยืดหยุ่น เนียน ภายนอก เบส 10 ลิตร #000A,สีและเคมีภัณฑ์
ฉนวน ROCKWOOL รุ่น ความหนาแน่น 110 kg/m3 ความหนา 40 mm.,ฉนวนกันความร้อน
ปูนซีเมนต์ปอร์ตแลนด์ประเภท 1 ตราอินทรีเพชร ขนาด 50 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
อิฐทนไฟ PH40AF,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ทีโอเอ ลอฟท์ เคลียร์ งานพื้น 1 แกลลอน,วัสดุมุงหลังคา
ท่อกรู๊ฟเคลือบสี ขนาด 6 นิ้ว ความหนา 3.40 - 11.00 มิลลิเมตร,สีและเคมีภัณฑ์
ท่อต๊าปเกลียวเคลือบสังกะสี ขนาด ½ นิ้ว ความหนา 2.00 - 4.78 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เบเยอร์ซุปเปอร์ไฮ-ชิลด์ ชนิดด้าน สำหรับทาภายนอกและภายใน เบส B ขนาด 2.5 แกลลอน,สีและเคมีภัณฑ์
สีน้ำทีโอเอ ชิลด์ วัน นาโน ชนิดกึ่งเงา สำหรับภายใน เบส ซี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
เบเยอร์ ไพรเมอร์ โปร 200 ขนาด 5 แกลลอน,วัสดุมุงหลังคา
"จระเข้ นอน-เฟอร์รัส, นอน-ชริ้งค์ เกร้าท์ ขนาด 25 กิโลกรัม",ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ท่อกรู๊ฟเคลือบสี ขนาด 3½ นิ้ว ความหนา 2.11 - 8.10 มิลลิเมตร,สีและเคมีภัณฑ์
ท่อเหล็กกล้าคาร์บอน ชนิดสี่เหลี่ยมจุตุรัส ขนาด 20 x 20 - 152.4 x 152.4 มม. ความหนา 1.60 - 12.50 มม.,ผลิตภัณฑ์เหล็ก
ฉนวนใยแก้วแบบแผ่น PLN 6450,ฉนวนกันความร้อน
ท่อเหล็กเคลือบสังกะสี ขนาด ½ นิ้ว ความหนา 2.00 - 4.78 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เหล็กข้ออ้อย DB32 SD50 (Non TMT),ผลิตภัณฑ์เหล็ก
ซุปเปอร์เมเทค สีน้ำ กึ่งเงา ภายนอก เบส 2.5 แกลลอน #000C,สีและเคมีภัณฑ์
ท่อเหล็กแบนกัลวาไนซ์ 75 x 38 x 1.55 มม.,ผลิตภัณฑ์เหล็ก
ข้อต่อตรงเกลียวนอกทองเหลือง-หนา ฟ้า 18,สุขภัณฑ์
หลังคาไฟเบอร์กลาสโปร่งแสงท๊อปกลาส จีซี เอสพีเอฟ ไฮบริด 2400 จีเอสเอ็ม รูปลอน 4 ลอน  700,วัสดุมุงหลังคา
ปูนซีเมนต์สำเร็จรูป สกิมโคท ปรับผิวเนียนพิเศษ บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เบเยอร์คูล ยูวี ฃิลด์ เฉดสีเข้ม ขนาดบรรจุ 15 ลิตร,สีและเคมีภัณฑ์
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีผิวเรียบ YE02 บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยมกัลวาไนซ์ ขนาด 40 x 40 มิลลิเมตร ความหนา 1.60 - 4.00 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เหล็กเส้นข้ออ้อย SD40 DB20 12M,ผลิตภัณฑ์เหล็ก
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยมกัลวาไนซ์ ขนาด 65 x 35 มิลลิเมตร ความหนา 2.00 - 3.00 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
ท่อเหลี่ยมสังกะสี ขนาด 38 x 38 มิลลิเมตร ความหนา 0.40 - 3.20 มิลลิเมตร,สีและเคมีภัณฑ์
"คอตโต้, ก๊อกน้ำอ่างล้างชาม รุ่น CT289A LC",สุขภัณฑ์
"ผลิตภัณฑ์กระเบื้องบุผนัง ขนาด 8"" x 10"" แบรนด์ SGI Tile",กระเบื้องและเซรามิก
เหล็กเส้นกลม RB15 SR24,ผลิตภัณฑ์เหล็ก
อินทรีมอร์ตาร์ 13 ปูนซีเมนต์สำเร็จรูปสำหรับฉาบอิฐมวลเบาแบบบัลค์,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ข้อต่อพีวีซี (สีขาว),สีและเคมีภัณฑ์
เสือกาวยาแนว (สูตรใช้ White cement) สีแดง บรรจุถุง 1 กิโลกรัม,สีและเคมีภัณฑ์
ปูนรับกำลังอัดเร็ว เอสซีจี บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ทีโอเอ ชิลด์วัน นาโน สีน้ำ ด้าน ภายนอก เบส 2.5 แกลลอน #000B,สีและเคมีภัณฑ์
เบเยอร์ คูล เฟล็กซ์ ชิลด์ เบส ดี ขนาด 1 แกลลอน,สีและเคมีภัณฑ์
สีน้ำอะครีลิค เอ็กซ์ตร้าปาม ชนิดเนียน สำหรับทาภายนอก เบส ซี บรรจุ 15 ลิตร,สีและเคมีภัณฑ์
อิฐทนไฟ SILIM72,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
สีน้ำทีโอเอ ชิลด์ วัน นาโน ชนิดกึ่งเงา สำหรับภายนอก สีขาว บรรจุ 5 แกลลอน,สีและเคมีภัณฑ์
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยมเคลือบสี ขนาด 125 x 125 มิลลิเมตร ความหนา 3.20 - 12.00 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
อิฐทนไฟ ANDURA70,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
เหล็กเส้นกลม ขนาด 12 มม. เกรด SR24,ผลิตภัณฑ์เหล็ก
ฉนวนใยแก้วแบบม้วน PLN 1250,ฉนวนกันความร้อน
ทีโอเอ HVG อีโพการ์ด อีนาเมล เงา ส่วนเอ 1 แกลลอน #7035,วัสดุมุงหลังคา
เบเยอร์ชิลด์ โฟโตคลีน เบส ซี ขนาดบรรจุ 3.5 ลิตร,สีและเคมีภัณฑ์
